"Class","Order","Family","Genus"
"alphaproteobacteria","rhodospirillales","azospirillaceae","skermanella"
"alphaproteobacteria","hyphomicrobiales","methylobacteriaceae","microvirga"
"actinomycetia","geodermatophilales","geodermatophilaceae","blastococcus"
"bacilli","bacillales","bacillaceae","bacillus"
"actinomycetia","micrococcales","micrococcaceae","arthrobacter"
"alphaproteobacteria","hyphomicrobiales","bradyrhizobiaceae","bradyrhizobium"
"betaproteobacteria","burkholderiales","oxalobacteraceae","massilia"
"alphaproteobacteria","sphingomonadales","sphingomonadaceae","sphingomonas"
"actinomycetia","streptomycetales","streptomycetaceae","streptomyces"
"thermoleophilia","solirubrobacterales","solirubrobacteraceae","solirubrobacter"
"rubrobacteria","rubrobacterales","rubrobacteraceae","rubrobacter"
"opitutae","opitutales","opitutaceae","opitutus"
"alphaproteobacteria","hyphomicrobiales","hyphomicrobiaceae","rhodoplanes"
"blastocatellia","blastocatellales","blastocatellaceae","aridibacter"
"actinomycetia","corynebacteriales","mycobacteriaceae","mycobacterium"
"actinomycetia","micromonosporales","micromonosporaceae","actinoplanes"
"actinomycetia","propionibacteriales","nocardioidaceae","nocardioides"
"gammaproteobacteria","pseudomonadales","pseudomonadaceae","pseudomonas"
"actinomycetia","micrococcales","microbacteriaceae","agromyces"
"deltaproteobacteria","myxococcales","archangiaceae","cystobacter"
"rubrobacteria","gaiellales","gaiellaceae","gaiella"
"chitinophagia","chitinophagales","chitinophagaceae","terrimonas"
"sphingobacteriia","sphingobacteriales","sphingobacteriaceae","pedobacter"
"actinomycetia","propionibacteriales","kribbellaceae","kribbella"
"betaproteobacteria","nitrosomonadales","methylophilaceae","methylotenera"
"betaproteobacteria","nitrosomonadales","nitrosomonadaceae","nitrosovibrio"
"actinomycetia","pseudonocardiales","pseudonocardiaceae","pseudonocardia"
"spartobacteria","chthoniobacterales","chthoniobacteraceae","chthoniobacter"
"gammaproteobacteria","nevskiales","steroidobacteraceae","steroidobacter"
"alphaproteobacteria","rhodospirillales","azospirillaceae","nitrospirillum"
