"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-01-01","2.24",,"0.00","0.0","0.0",,"60","32","  190",,"12.1",,,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-01-02","3.80",,"0.00","0.0","0.0",,"65","40","  120","  140","15.0","19.0",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-01-03","6.04",,"0.00",,"0.0",,"66","47","  150","  150","21.0","27.1",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-01-04","3.13",,"0.00","0.0","0.0",,"63","52","  220",,"12.1",,,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-01-05","7.83",,"0.89",,"0.0",,"59","49","  140","  150","23.0","29.1","    1",,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-01-06","6.71",,"0.87",,"0.0",,"59","48","  240","  240","33.1","40.0","    1",,"    1",
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-01-07","4.03",,"0.25",,"0.0",,"57","43","  320","  300","23.9","33.1","    1",,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-01-08","2.91",,"0.00","0.0","0.0",,"62","39","  330","  330","15.0","19.0","    1",,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-01-09","4.03",,"0.04",,"0.0",,"58","46","  160","  170","16.1","21.9","    1",,,"    1"
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-01-10","3.58",,"0.03","0.0","0.0",,"60","51","  310","   10","12.1","14.1","    1","    1",,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-01-11","2.68",,"0.00","0.0","0.0",,"68","46","  320","  320","12.1","14.1","    1","    1",,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-01-12","3.80",,"0.00","0.0","0.0",,"68","43","  310","  310","15.0","18.1",,,,
"USW00093206","SAN LUIS OBISPO MCCHESNEY FIELD, CA US","2016-01-13","5.82",,"0.01",,"0.0",,"66","46","  310","  300","17.0","21.0","    1",,,
